Εταίρος ΕΦΔ,Κωδικός Πρότασης,Επωνυμία Επιχείρησης,ΚΑΔ Επένδυσης,Περιγραφή ΚΑΔ Επένδυσης,Περιφέρεια Υλοποίησης,ΠΕΠ,Συνολικός Προϋπολογισμός,Επιχορηγούμενος Προϋπολογισμός,Δημόσια Δαπάνη Ολοκλήρωσης
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00953                      ,JOIN CLOTHES ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ - ΒΙΟΤΕΧΝΙΑ ΕΝΔΥΜΑΤΩΝ ΚΑΙ ΣΥΝΑΦΩΝ ΕΙΔΩΝ,14.19,Κατασκευή άλλων ενδυμάτων και εξαρτημάτων ένδυσης,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),59064.53,55174.36,24828.46
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00954                      ,THALPOS ΣΤΡΩΜΑΤΑ ΚΡΕΒΑΤΙΑ ΜΑΞΙΛΑΡΙΑ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,31.03,Κατασκευή στρωμάτων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),95628.47,95628.47,43032.81
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00956                      ,ΙΩΑΝΝΗΣ ΛΑΠΠΑΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,28.29,Κατασκευή άλλων μηχανημάτων γενικής χρήσης π.δ.κ.α.,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),77825.32,77825.33,35021.40
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00960                      ,ΕΚΟΣΟΦΤ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΥΠΗΡΕΣΙΕΣ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ ΚΑΙ ΣΥΜΒΟΥΛΕΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,62.02.20,Υπηρεσίες παροχής συμβουλών για θέματα συστημάτων και λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),55210.00,52433.33,23595.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00975                      ,SPECISOFT ΑΝΑΠΤΥΞΗ ΠΡΟΓΡΑΜΜΑΤΩΝ ΗΛΕΚΤΡΟΝΙΚΩΝ ΥΠΟΛΟΓΙΣΤΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,62.01,Δραστηριότητες προγραμματισμού ηλεκτρονικών συστημάτων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),217500.00,215000.00,96750.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00980                      ,SUNSOFT ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.,58.29,Έκδοση άλλου λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),232419.60,232419.60,104588.82
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00985                      ,ΒΙΟΜΗΧΑΝΙΑ ΥΠΟΔΗΜΑΤΩΝ Δ.Ι. ΦΕΙΔΑΣ Α.Ε.,15.20.13,"Κατασκευή υποδημάτων με επάνω μέρη από δέρμα, εκτός των αθλητικών υποδημάτων, υποδημάτων που φέρουν, στο μπροστινό μέρος, προστατευτικό κάλυμμα των δακτύλων από μέταλλο και διαφόρων ειδικών υποδημάτων",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),189024.10,161700.00,72765.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00987                      ,EXERGIA ΣΥΜΒΟΥΛΟΙ ΕΝΕΡΓΕΙΑΣ ΚΑΙ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,70.22.20,Υπηρεσίες διαχείρισης έργων εκτός των κατασκευαστικών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),80746.07,74288.29,33429.73
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00995                      ,"ΑΡΤΟΚΑΤΑΣΚΕΥΑΣΜΑΤΑ - ΖΑΧΑΡΟΕΙΔΗ Π. ΠΑΠΑ, ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ",10.72,Παραγωγή παξιμαδιών και μπισκότων· παραγωγή διατηρούμενων ειδών ζαχαροπλαστικής,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),53842.30,47030.49,21163.72
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00997                      ,ΓΙΟΥΜΠΟΤΟ ΕΤΑΙΡΕΙΑ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΔΙΑΔΙΚΤΥΟΥ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,62.01,Δραστηριότητες προγραμματισμού ηλεκτρονικών συστημάτων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),105735.98,105735.98,47316.48
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01000                      ,ΝΕΦ - ΝΕΦ (NEF - NEF) ΒΙΟΜΗΧΑΝΙΑ ΚΑΙ ΕΜΠΟΡΙΑ ΛΕΥΚΩΝ ΕΙΔΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,13.92.12,Κατασκευή σεντονιών και μαξιλαροθηκών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),79939.78,79939.78,35972.90
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01005                      ,Δ. ΚΟΝΤΙΝΟΣ- Κ. ΦΥΡΟΓΕΝΗΣ ΟΕ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),50432.69,50432.70,25216.35
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01018                      ,SENSE ONE TECHNOLOGIES ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΛΥΣΕΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΕΝΕΡΓΕΙΑΣ ,58.29,Έκδοση άλλου λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),192055.80,193421.95,86425.11
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01025                      ,M – SENSIS ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΤΕΧΝΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),147576.51,147576.51,66409.43
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01026                      ,ΣΕΡΑΛΙΔΗΣ ΓΕΩΡΓΙΟΣ,10.71,Αρτοποιία· παραγωγή νωπών ειδών ζαχαροπλαστικής,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),53000.00,51666.66,25833.33
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01039                      ,ΝΙΚΟΛΑΟΣ ΜΙΧ. ΦΡΑΓΚΟΣ,32.13.10,Κατασκευή κοσμημάτων απομίμησης και συναφών ειδών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),60884.02,60227.87,27102.54
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01042                      ,VASARTIS ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΚΑΙ ΕΚΤΕΛΕΣΗΣ ΕΡΓΩΝ ANΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ,41.2,Κατασκευή κτιρίων για κατοικίες και μη,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),112279.57,112279.56,50525.80
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01045                      ,B & R OUTSOURCING SERVICES ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΕΚΧΩΡΗΣΗΣ ΔΙΑΔΙΚΑΣΙΩΝ,62.03.12,Υπηρεσίες διαχείρισης συστημάτων ηλεκτρονικού υπολογιστή,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),34066.57,31362.58,14113.16
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01046                      ,"ΠΕΙΠΕΡΠΑΚ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΕΚΤΥΠΩΣΕΩΣ, ΚΥΤΙΟΠΟΙΙΑΣ ΚΑΙ ΕΙΔΩΝ ΧΑΡΤΙΝΗΣ ΣΥΣΚΕΥΑΣΙΑΣ",17.21.14.02,Κατασκευή άλλων κουτιών από χαρτί ή χαρτόνι,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),177520.46,170166.66,85083.33
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01048                      ,MENTORING AE,70.22.12.10,Υπηρεσίες μελετών οργάνωσης και επιχειρησιακής έρευνας,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),51035.00,51035.00,22965.75
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01055                      ,ΚΑΛΟΙΔΑΣ ΕΛΛΗΝΙΚΗ ΒΙΟΜΗΧΑΝΙΑ ΖΥΜΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΝΩΠΩΝ ΚΑΙ ΚΑΤΕΨΥΓΜΕΝΩΝ ΤΡΟΦΙΜΩΝ ΑΒΕΕ,10.72.19.01,Παραγωγή κουλουριών και πιτών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),94808.83,88649.84,42663.97
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01063                      ,ΕΛENH ΔΗΜΗΤΡΙΑΔΗ ΚAI ΣΙΑ Ε.Ε.,32.13.10,Κατασκευή κοσμημάτων απομίμησης και συναφών ειδών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),75523.28,75523.27,33985.47
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01070                      ,SYSTEM VISION ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ,23.19.22.01,Κατασκευή γυαλιών για φακούς οράσεως και οπτικούς κρυστάλλους,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),31080.25,30967.07,13935.18
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01071                      ,ΛΟΛΑ ΑΒΕΕ ΕΤΟΙΜΩΝ ΕΝΔΥΜΑΤΩΝ ,14.13.99.04,"Κατασκευή γυναικείων ενδυμάτων με σύστημα φασόν, με εργαστήριο",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),118022.51,118022.51,53110.13
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01072                      ,ΚΟΥΦΕΤΟΠΟΙΪΑ ΧΑΤΖΗΓΙΑΝΝΑΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,10.82.23.02,"Παραγωγή χαλβάδων, κουφέτων και λουκουμιών",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),146188.34,146748.35,65784.75
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01078                      ,COSMOS BUSINESS SYSTEMS - ΣΥΣΤΗΜΑΤΑ ΠΛΗΡΟΦΟΡΙΚΗΣ & ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ & ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,62.02.20,Υπηρεσίες παροχής συμβουλών για θέματα συστημάτων και λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),173348.55,173348.55,78006.85
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01089                      ,CRYSTALCLEARSOFT ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΛΟΓΙΣΜΙΚΟΥ,62.01.11.03,Υπηρεσίες ανάπτυξης λογισμικού πολυμέσων (multimedia),ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),91741.61,91741.62,41052.53
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01093                      ,OBRELA SECURITY INDUSTRIES – ΥΠΗΡΕΣΙΕΣ ΑΣΦΑΛΕΙΑΣ ΠΛΗΡΟΦΟΡΙΩΝ Α.Ε.,62.02.20,Υπηρεσίες παροχής συμβουλών για θέματα συστημάτων και λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),136590.40,133873.16,60242.92
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01097                      ,PLANNING ΣΥΜΒΟΥΛΟΙ ΟΡΓΑΝΩΣΕΩΣ ΕΠΙΧΕΙΡΗΣΕΩΝ ΑΕ,70.22.11,Υπηρεσίες παροχής συμβουλών στρατηγικής διαχείρισης,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),71084.02,71084.02,35542.01
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01106                      ,DATA MINE ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΥΠΗΡΕΣΙΩΝ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ,62.01.11.02,Υπηρεσίες ανάπτυξης και υποστήριξης λογισμικού εφαρμογών τηλεματικής,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),99500.00,85833.34,42916.67
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01118                      ,ΑΛΦΑ ΦΡΟΣΤ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΨΥΞΗΣ,46.69.19.31,"Χονδρικό εμπόριο εξοπλισμού ψύξης και κατάψυξης και αντλιών θερμότητας, εκτός των συσκευών οικιακού τύπου και μερών τους",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),140936.56,140936.56,70468.28
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01141                      ,ΠΑΝ.ΜΠΑΓΚΟΣ & ΣΙΑ Ο.Ε.,27.12,Κατασκευή συσκευών διανομής και ελέγχου ηλεκτρικού ρεύματος,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),36692.65,36784.72,18346.32
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01149                      ,ΒΕΡΖΙΟΝ ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΚΑΛΛΥΝΤΙΚΩΝ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΚΑΙ ΔΙΑΦΗΜΙΣΤΙΚΩΝ ΕΡΓΑΣΙΩΝ,20.42.15,"Παραγωγή παρασκευασμάτων ομορφιάς, μακιγιάζ (make-up) ή φροντίδας του δέρματος (περιλαμβάνονται και τα αντιηλιακά) π.δ.κ.α.",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),48375.22,48375.22,21768.85
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01150                      ,ΑΛΟΥΤΗΜ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΡΟΙΟΝΤΩΝ ΑΛΟΥΜΙΝΙΟΥ,25.99,Κατασκευή άλλων μεταλλικών προϊόντων π.δ.κ.α.,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),77205.00,77205.00,34404.75
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01152                      ,CONSUMER TECHNOLOGIES ΣΥΣΤΗΜΑΤΑ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,46.43.12.04,"Χονδρικό εμπόριο ηλεκτρικών ενισχυτών ακουστικής συχνότητας, ηλεκτρικών συστημάτων ενίσχυσης ήχου",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),155438.32,175545.44,77719.16
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01157                      ,ΣΥΜΒΟΥΛΟΙ ΜΗΧΑΝΟΡΓΑΝΩΣΗΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),31739.57,31739.56,14282.80
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01165                      ,Ν. ΠΑΝΑΓΟΠΟΥΛΟΣ - Ν. ΔΗΜΟΥ Ο.Ε.,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),222712.72,227225.44,95546.45
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01184                      ,ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΑΡΚΕΤΟΒΙΟΜΗΧΑΝΙΑ ΔΗΜΗΤΡΙΟΣ ΕΜΜ. ΡΟΥΣΣΕΤΟΣ Α.Ε,16.22.10.01,Κατασκευή ξύλινων παρκέτων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),64328.00,63245.33,28460.40
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01185                      ,ΙΝΤΕΑΛ ΗΛΕΚΤΡΟΝΙΚΗ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,62.01.2,Παραγωγή πρωτοτύπων λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),121190.97,121190.96,54535.93
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01201                      ,Α.Κ ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ ΣΟΚΟΛΑΤΟΠΟΙΙΑ ΑΣΤΗΡ,10.82.2,Παραγωγή προϊόντων σοκολατοποιίας και ζαχαροπλαστικής,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),227483.97,227483.96,102367.78
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01202                      ,EM - ΣΤΑΤ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΛΟΓΙΣΜΙΚΟΥ ΚΑΙ ΡΑΔΙΟΤΗΛΕΟΠΤΙΚΟΥ ΥΛΙΚΟΥ - ΠΑΡΑΓΩΓΗ ΚΑΙ ΟΡΓΑΝΩΣΗ ΔΡΑΣΤΗΡΙΟΤΗΤΩΝ ΘΕΑΜΑΤΟΣ,62.02.20,Υπηρεσίες παροχής συμβουλών για θέματα συστημάτων και λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),60241.20,56882.85,25597.28
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01207                      ,ΜΟΝΙΤΟΡ ΗΛΕΚΤΡΟΝΙΚΗ Ε.Π.Ε.,26.11.22,Κατασκευή συσκευών με ημιαγωγούς· διόδων εκπομπής φωτός· συναρμολογημένων πιεζοηλεκτρικων κρυστάλλων· μερών τους,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),210273.42,210273.42,94623.04
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01210                      ,ΔΙΕΘΝΗ ΣΥΣΤΗΜΑΤΑ ΔΙΑΛΕΙΤΟΥΡΓΙΚΟΤΗΤΑΣ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),65575.42,65575.42,29324.72
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01214                      ,ΦΩΤΟΛΙΟ ΚΑΙ ΤΥΠΙΚΟΝ ΓΡΑΦΙΚΕΣ ΤΕΧΝΕΣ Α.Ε.,18.12.13,"Υπηρεσίες εκτύπωσης εφημερίδων και περιοδικών, που εκδίδονται λιγότερο από τέσσερις φορές την εβδομάδα",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),133244.65,133244.65,59960.09
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01217                      ,ΠΑΝΑΓΙΩΤΗΣ ΠΑΠΑΔΟΠΟΥΛΟΣ,25.62.10,Υπηρεσίες τόρνευσης μεταλλικών μερών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),32568.67,32568.66,16284.33
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01219                      ,ΧΑΡΑΛΑΜΠΟΣ ΔΗΜΗΤΡΑΚΑΣ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΕΙΔΩΝ ΟΙΚΙΑΚΗΣ ΧΡΗΣΕΩΣ,20.16,Παραγωγή πλαστικών σε πρωτογενείς μορφές,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),79950.00,79950.00,35977.50
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01221                      ,ΓΕΩΡΓΙΟΣ ΠΑΧΩΠΟΣ,20.42.19,"Παραγωγή ξυριστικών παρασκευασμάτων· αποσμητικών και αντιιδρωτικών για το σώμα· παρασκευασμάτων για το λουτρό· άλλων αρωμάτων, καλλυντικών ή παρασκευασμάτων καλλωπισμού π.δ.κ.α.",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),83915.17,83915.16,37761.82
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01222                      ,ΜΕΤΑΛΟΥΜΙΝ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΙΑ ΕΠΕΞΕΡΓΑΣΙΑΣ ΜΕΤΑΛΛΩΝ ΚΑΙ ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΑΚΙΝΗΤΩΝ,24.42.22,"Παραγωγή δοκών, ράβδων, καθορισμένων μορφών (profiles) αργίλιου",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),134152.25,148747.32,59841.13
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01225                      ,PETRIDIS WATER TECHNOLOGIES ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΕΠΕΞΕΡΓΑΣΙΑΣ ΝΕΡΟΥ ΚΑΙ ΚΟΛΥΜΒΗΤΙΚΩΝ ΔΕΞΑΜΕΝΩΝ,46.69.15,"Χονδρικό εμπόριο επαγγελματικών ηλεκτρικών μηχανημάτων, άλλων ηλεκτρικών συσκευών και υλικών επαγγελματικής ή οικιακής χρήσης",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),214119.12,214119.12,107059.56
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01232                      ,Κ. ΚΥΡΙΑΖΗΣ - Θ. ΠΑΠΑΔΟΠΟΥΛΟΣ Ο.Ε.,62.02.20,Υπηρεσίες παροχής συμβουλών για θέματα συστημάτων και λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),48826.00,48826.00,24413.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-01261                      ,ΜΑΓΚΝΟΥΜ ΟΠΟΥΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ ΠΑΡΟΧΗΣ ΕΠΑΓΓΕΛΜΑΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ,73.11.11.04,Υπηρεσίες σχεδιασμού (όχι παραγωγής) διαφημιστικών αντικειμένων ή ταινιών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),31700.00,31666.67,14250.00
